Funder ID,ROR ID
http://dx.doi.org/10.13039/501100001230,https://ror.org/01sf06y89
http://dx.doi.org/10.13039/501100001777,https://ror.org/00jtmb277
http://dx.doi.org/10.13039/501100001785,https://ror.org/01kpzv902
http://dx.doi.org/10.13039/501100003133,https://ror.org/01kpzv902
http://dx.doi.org/10.13039/100008690,https://ror.org/04ttjf776
http://dx.doi.org/10.13039/100010552,https://ror.org/04ttjf776
http://dx.doi.org/10.13039/501100001780,https://ror.org/04ttjf776
http://dx.doi.org/10.13039/501100001215,https://ror.org/01rxfrp27
http://dx.doi.org/10.13039/501100001784,https://ror.org/04j757h98
http://dx.doi.org/10.13039/501100001772,https://ror.org/04r659a56
http://dx.doi.org/10.13039/501100001791,https://ror.org/02sc3r913
http://dx.doi.org/10.13039/501100003450,https://ror.org/02sc3r913
http://dx.doi.org/10.13039/100008763,https://ror.org/02sc3r913
http://dx.doi.org/10.13039/501100001790,https://ror.org/023q4bk22
http://dx.doi.org/10.13039/501100001787,https://ror.org/01p93h210
http://dx.doi.org/10.13039/501100001135,https://ror.org/031rekg67
http://dx.doi.org/10.13039/501100007916,https://ror.org/031rekg67
http://dx.doi.org/10.13039/501100001781,https://ror.org/031rekg67
http://dx.doi.org/10.13039/501100001789,https://ror.org/006jxzx88
http://dx.doi.org/10.13039/501100001769,https://ror.org/00wfvh315
http://dx.doi.org/10.13039/501100001802,https://ror.org/04s1nv328
http://dx.doi.org/10.13039/501100001783,https://ror.org/05qbzwv83
http://dx.doi.org/10.13039/501100006643,https://ror.org/05qbzwv83
http://dx.doi.org/10.13039/501100001803,https://ror.org/048zcaj52
http://dx.doi.org/10.13039/100008561,https://ror.org/05ktbsm52
http://dx.doi.org/10.13039/501100001208,https://ror.org/046fa4y88
http://dx.doi.org/10.13039/100009021,https://ror.org/046fa4y88
http://dx.doi.org/10.13039/100009910,https://ror.org/033yfkj90
http://dx.doi.org/10.13039/501100000767,https://ror.org/04h08p482
http://dx.doi.org/10.13039/501100000775,https://ror.org/01zctcs90
http://dx.doi.org/10.13039/501100000577,https://ror.org/00kv9pj15
http://dx.doi.org/10.13039/501100000842,https://ror.org/00kv9pj15
http://dx.doi.org/10.13039/100006677,https://ror.org/02x2akc96
http://dx.doi.org/10.13039/100010635,https://ror.org/050b31k83
http://dx.doi.org/10.13039/501100000951,https://ror.org/023m51b03
http://dx.doi.org/10.13039/100004349,https://ror.org/01q8f6705
http://dx.doi.org/10.13039/100006719,https://ror.org/03ebg0v16
http://dx.doi.org/10.13039/501100001822,https://ror.org/03anc3s24
http://dx.doi.org/10.13039/501100006427,https://ror.org/04knbh022
http://dx.doi.org/10.13039/501100004195,https://ror.org/04rdtx186
http://dx.doi.org/10.13039/501100004144,https://ror.org/04zfme737
http://dx.doi.org/10.13039/501100005075,https://ror.org/03cv38k47
http://dx.doi.org/10.13039/501100007882,https://ror.org/01ee9ar58
http://dx.doi.org/10.13039/501100000837,https://ror.org/01ee9ar58
http://dx.doi.org/10.13039/501100004293,https://ror.org/01ee9ar58
http://dx.doi.org/10.13039/501100006690,https://ror.org/01nffqt88
http://dx.doi.org/10.13039/100009052,https://ror.org/05290cv24
http://dx.doi.org/10.13039/100007195,https://ror.org/05290cv24
http://dx.doi.org/10.13039/100009153,https://ror.org/03ykbk197
http://dx.doi.org/10.13039/501100001261,https://ror.org/02vwnat91
http://dx.doi.org/10.13039/501100000873,https://ror.org/00hswnk62
http://dx.doi.org/10.13039/501100001721,https://ror.org/012p63287
http://dx.doi.org/10.13039/501100001903,https://ror.org/012p63287
http://dx.doi.org/10.13039/100007626,https://ror.org/0249v7n71
http://dx.doi.org/10.13039/501100007259,https://ror.org/02mw21745
http://dx.doi.org/10.13039/501100001835,https://ror.org/02jz4aj89
http://dx.doi.org/10.13039/501100004406,https://ror.org/01cg9ws23
http://dx.doi.org/10.13039/501100005187,https://ror.org/04gnjpq42
http://dx.doi.org/10.13039/501100007660,https://ror.org/008x57b05
http://dx.doi.org/10.13039/501100004423,https://ror.org/00ntfnx83
http://dx.doi.org/10.13039/501100006539,https://ror.org/00ntfnx83
http://dx.doi.org/10.13039/501100001652,https://ror.org/00f7hpc57
http://dx.doi.org/10.13039/501100007216,https://ror.org/00f7hpc57
http://dx.doi.org/10.13039/501100006255,https://ror.org/0460jpj73
http://dx.doi.org/10.13039/501100007514,https://ror.org/03ad39j10
http://dx.doi.org/10.13039/501100001671,https://ror.org/02550n020
http://dx.doi.org/10.13039/501100004353,https://ror.org/00ks66431
http://dx.doi.org/10.13039/501100003513,https://ror.org/00ks66431
http://dx.doi.org/10.13039/501100000739,https://ror.org/01ryk1543
http://dx.doi.org/10.13039/501100007105,https://ror.org/031bsb921
http://dx.doi.org/10.13039/501100004702,https://ror.org/0107c5v14
http://dx.doi.org/10.13039/501100007052,https://ror.org/039bp8j42
